node;instance_name;dimension_0;dimension_1
gen.0.4.0.0.2.0;🤙;-1.5667998013258626;-2.572381851600964
gen.0.4.0.0.2.0;🤘;-0.8269032010595755;-2.3478579513185993
gen.0.4.0.0.2.0;✊;-0.9356809577224363;-2.3813187379156946
gen.0.4.0.0.2.0;🚬;-1.8361395139769368;-2.810954451217142
gen.0.4.0.0.2.0;🖖;-1.0777285608581957;-3.1562786731594237
gen.0.4.0.0.2.0;☮;-1.3443398950121517;-3.32179793415924
gen.0.4.0.0.2.0;🇭🇷;-1.9671738966108554;-2.1589340344547825
gen.0.4.0.0.2.0;🇾🇪;-1.0597885214259926;-3.0930265275635813
gen.0.4.0.0.2.1;🖕;0.8303325441493642;-3.471209316585189
gen.0.4.0.0.2.1;🙇;0.1518922644587953;-3.5992732480215075
gen.0.4.0.0.2.1;🙏;-0.15703232760485028;-3.177657218818686
gen.0.4.0.0.2.1;🤞;-0.29534061247359145;-3.0183674079867657
gen.0.4.0.0.2.1;✝;-0.0029663191525354914;-3.2642178801403428
gen.0.4.0.0.2.2;🤠;-2.4648813844201674;-3.0900225646970174
gen.0.4.0.0.2.2;🦆;-2.508884002583322;-3.382691180131244
gen.0.4.0.0.3;🤣;1.2870626345762646;-4.269146365663066
gen.0.4.0.0.3;🚶🏿;1.2240177100807552;-4.087825955039155
gen.0.4.0.0.3;😂;1.3604761549978956;-4.317645236886566
gen.0.4.0.0.3;🐝;1.1436527778041228;-4.869449502267802
gen.0.4.0.0.3;👦🏼;1.3807818733922734;-5.041193633831128
gen.0.4.0.1;💚;-3.1933406425963735;-8.096527226627826
gen.0.4.0.1;💙;-3.2219141168779637;-8.474576927932635
gen.0.4.0.1;🦄;-3.4068653114345615;-1.6218585724007368
gen.0.4.0.1;🌈;-3.462114929133509;-1.628174170721082
gen.0.4.0.1;🦋;-3.3618622907674096;-1.8092213526485188
gen.0.4.0.1;🐿;-3.0788866525591527;-3.5345565090655624
gen.0.4.0.1;🦏;-3.4625367436091703;-2.9657361992196996
gen.0.4.0.1;🦊;-3.3298922074490176;-5.047463080957004
gen.0.4.0.1.0;🌹;-3.1074356482729457;-6.64749705112163
gen.0.4.0.1.0;💐;-3.0418935229396586;-6.536347299768622
gen.0.4.0.1.0;🥀;-3.013764818018469;-6.520060867251431
